home,away,week,home_pass,away_pass,home_rush,away_rush,home_points,away_points,home_turnover,away_turnover,home_win
HOU,BUF,9,226.3,157.3,146.7,140.0,30.0,18.7,0.0,-1.0,1
OAK,TB,9,272.0,328.7,117.7,135.3,24.0,34.0,0.3,1.3,0
NYG,PIT,9,237.3,278.3,105.3,121.0,27.3,24.7,3.0,-0.3,0
NO,PHI,9,309.7,210.7,61.7,80.3,26.7,18.0,0.0,-1.3,1
TEN,CHI,9,228.3,181.0,134.3,154.7,24.7,25.7,1.0,1.7,0
WAS,CAR,9,193.0,207.0,172.3,104.3,24.3,16.0,0.0,0.7,0
ATL,DAL,9,275.0,298.7,91.3,110.3,25.7,24.0,0.0,-1.3,1
SEA,MIN,9,211.3,199.7,118.0,133.3,18.0,21.3,-0.3,-1.7,1
SD,KC,9,225.0,167.0,108.0,132.0,18.0,10.7,-1.7,-1.7,1
JAX,DET,9,187.7,295.0,58.7,106.3,13.7,20.3,0.0,-0.3,0
IND,MIA,9,238.7,168.7,120.0,67.0,15.0,21.3,-2.0,1.0,1
CLE,BAL,9,199.7,172.0,99.3,91.3,18.0,17.7,1.7,0.3,0
CIN,DEN,9,228.3,312.7,78.7,117.3,18.0,30.0,-1.0,0.3,0
CHI,HOU,10,151.3,242.0,136.7,129.7,29.0,29.3,2.3,0.0,0
CAR,DEN,10,238.0,301.7,120.0,116.7,19.0,33.3,0.0,0.7,0
SF,STL,10,192.0,255.0,122.7,125.7,13.3,13.7,-0.7,-1.3,1
SEA,NYJ,10,180.3,218.0,154.7,154.3,20.0,23.3,0.3,0.7,1
MIA,TEN,10,192.0,200.0,72.3,156.0,22.3,22.7,0.7,-0.3,0
MIN,DET,10,105.3,286.3,183.0,110.0,19.3,22.0,-1.7,-0.3,1
BAL,OAK,10,165.3,297.7,92.7,75.3,23.0,28.0,0.3,-0.3,1
PIT,KC,10,223.3,184.3,155.0,98.3,25.0,13.0,-0.7,-1.7,1
NO,ATL,10,269.7,272.3,90.7,104.7,25.7,24.0,-0.3,0.0,1
NE,BUF,10,319.7,195.7,123.3,135.0,32.3,20.7,1.0,-1.0,1
PHI,DAL,10,230.0,318.0,128.0,56.3,17.7,18.7,-0.7,-1.0,0
TB,SD,10,301.7,193.7,179.7,110.0,35.3,20.3,2.0,-0.7,1
JAX,IND,10,216.3,292.7,60.0,138.7,17.3,19.7,0.0,-0.7,0
CIN,NYG,10,247.3,211.0,82.3,78.3,21.3,25.3,-0.3,2.3,1
SF,CHI,11,166.7,154.3,157.0,118.0,20.3,26.7,0.7,0.3,1
DEN,SD,11,297.0,229.0,119.3,114.3,33.7,20.3,-0.3,-0.3,1
PIT,BAL,11,186.7,202.3,131.0,90.0,22.3,31.0,-0.3,0.7,0
KC,CIN,11,173.7,193.0,119.0,82.3,14.0,23.7,-1.7,1.7,0
CAR,TB,11,232.0,233.0,100.0,170.3,19.0,37.3,0.3,2.3,0
DET,GB,11,308.0,237.3,97.7,104.0,27.7,28.3,0.3,0.7,0
NE,IND,11,267.0,308.7,133.3,135.3,37.0,23.0,2.0,0.0,1
DAL,CLE,11,306.7,185.0,61.7,101.3,25.0,11.7,-0.7,0.0,1
HOU,JAX,11,194.3,264.7,142.0,54.3,25.7,13.0,1.7,-1.0,1
OAK,NO,11,320.3,241.3,76.3,113.0,26.0,24.3,-0.3,0.0,0
STL,NYJ,11,254.7,218.7,124.7,98.3,17.0,14.0,-1.3,-1.0,0
WAS,PHI,11,195.7,227.3,161.7,134.7,16.0,17.7,-0.7,-0.7,1
BUF,MIA,11,255.0,207.0,134.0,78.3,24.7,17.7,-2.0,-1.0,1
ATL,ARI,11,328.0,258.0,105.0,62.3,25.3,11.3,0.0,-0.7,1
DAL,WAS,12,254.0,182.3,76.3,135.3,24.7,18.7,0.7,1.0,0
PHI,CAR,12,227.0,211.0,130.7,92.7,14.0,18.7,-1.7,0.7,0
CLE,PIT,12,161.0,173.3,122.7,129.0,14.0,16.7,-0.3,-1.3,1
SD,BAL,12,254.3,213.0,93.0,87.3,26.0,31.0,-0.3,2.3,0
NYG,GB,12,164.3,199.7,100.0,112.3,20.7,26.3,0.7,1.3,1
TB,ATL,12,226.0,344.7,173.0,75.7,34.3,23.0,0.7,-1.7,0
ARI,STL,12,195.0,228.3,66.0,126.7,13.0,14.7,1.0,-2.0,0
IND,BUF,12,323.0,236.7,118.0,118.7,24.7,19.7,-1.0,-0.3,1
DET,HOU,12,281.7,282.7,106.3,131.3,25.0,25.7,-1.0,0.3,0
CIN,OAK,12,231.3,345.3,118.7,71.3,27.3,23.0,1.7,-2.0,1
KC,DEN,12,165.0,279.7,122.7,88.7,10.7,32.3,-1.0,0.0,0
CHI,MIN,12,130.0,160.0,120.0,193.0,21.3,23.7,0.0,-1.0,1
MIA,SEA,12,202.0,205.0,66.0,167.3,12.3,27.3,-2.3,0.7,1
NO,SF,12,250.7,198.0,146.3,139.0,32.3,26.7,0.7,1.3,0
NYJ,NE,12,174.7,294.0,104.3,128.0,14.3,47.0,0.3,3.0,0
JAX,TEN,12,295.7,174.3,62.3,149.3,20.3,23.3,-0.3,0.3,1
DEN,TB,13,273.7,239.0,97.7,97.0,27.7,28.0,0.3,0.7,1
STL,SF,13,220.0,207.0,148.7,149.3,22.7,29.0,-0.3,1.0,1
KC,CAR,13,145.0,240.3,134.3,86.0,9.3,21.7,-0.3,1.7,1
BUF,JAX,13,216.3,297.7,139.0,74.3,21.0,23.7,0.3,0.7,1
WAS,NYG,13,222.0,182.0,156.3,114.7,27.3,23.7,1.7,0.0,1
ATL,NO,13,349.7,250.7,61.0,119.3,24.7,30.0,-2.3,0.7,1
TEN,HOU,13,182.0,296.0,148.7,160.3,25.3,30.0,-0.3,0.0,0
OAK,CLE,13,251.0,165.3,97.0,114.3,15.7,18.3,-2.0,1.7,0
BAL,PIT,13,270.0,174.0,84.0,92.7,28.0,13.3,1.7,-3.3,0
SD,CIN,13,245.3,204.3,82.3,162.0,20.0,31.0,-1.0,2.0,0
GB,MIN,13,209.3,131.7,129.0,184.3,21.7,21.3,0.7,-0.3,1
NYJ,ARI,13,184.0,209.3,109.0,88.3,17.7,17.7,-0.7,0.3,1
CHI,SEA,13,125.0,198.3,104.3,155.0,13.7,26.3,-1.0,1.3,0
MIA,NE,13,190.3,294.7,101.0,128.0,13.7,48.3,-2.7,3.7,0
DET,IND,13,326.3,258.3,92.0,114.7,25.0,23.7,-1.7,-1.3,0
DAL,PHI,13,291.0,187.3,66.3,125.0,30.7,17.0,0.0,-2.7,1
CLE,KC,14,225.0,161.3,116.3,139.7,20.0,14.0,2.0,-0.3,1
NYG,NO,14,235.0,265.0,131.0,103.7,22.3,24.0,0.0,-0.7,1
BUF,STL,14,147.3,189.7,162.3,124.0,22.0,20.0,1.3,0.3,0
WAS,BAL,14,214.3,215.3,175.0,95.0,28.7,16.3,1.3,1.3,1
SF,MIA,14,218.0,182.0,137.7,116.7,25.3,18.0,0.3,-1.3,1
TB,PHI,14,249.0,174.7,96.0,155.7,24.3,20.3,0.0,-2.3,0
CAR,ATL,14,247.7,266.7,123.7,87.0,24.0,23.3,1.7,-1.0,1
GB,DET,14,234.3,328.0,121.0,118.0,19.0,28.0,0.7,-0.3,1
IND,TEN,14,308.7,210.3,97.7,125.3,26.3,22.0,-2.3,-1.0,1
OAK,DEN,14,249.0,256.0,101.3,106.3,14.7,26.0,-1.0,0.3,0
NE,HOU,14,289.0,335.7,125.0,159.7,43.7,33.7,2.7,1.3,1
MIN,CHI,14,156.7,158.0,183.3,110.0,19.3,17.3,0.0,0.0,1
PIT,SD,14,212.7,221.3,93.0,63.3,15.7,16.3,-3.7,0.0,0
SEA,ARI,14,229.3,132.7,148.7,97.3,24.0,14.0,0.3,1.7,1
JAX,NYJ,14,259.7,187.7,78.7,140.0,26.3,17.7,1.0,-1.3,0
CIN,DAL,14,208.3,324.7,179.3,73.7,27.3,30.7,0.7,-0.3,0
SD,CAR,15,213.3,263.0,77.0,156.3,20.0,27.0,1.0,1.3,0
OAK,KC,15,242.0,147.7,81.7,162.0,13.3,14.3,-0.7,-0.3,1
BAL,DEN,15,222.0,267.7,141.3,108.7,21.3,24.7,0.0,0.3,0
HOU,IND,15,242.0,256.0,143.3,90.7,24.0,27.3,2.0,-1.0,1
PHI,CIN,15,228.3,198.3,138.7,165.0,26.0,24.3,-1.7,0.3,0
BUF,SEA,15,167.0,236.0,142.7,185.3,19.7,34.0,0.0,2.3,0
NE,SF,15,275.0,196.0,130.0,149.0,38.0,23.7,1.3,0.0,0
NO,TB,15,303.7,229.7,100.7,85.7,20.3,22.3,-2.0,1.0,1
STL,MIN,15,203.0,113.3,112.0,175.0,20.7,15.0,1.7,-0.3,0
DAL,PIT,15,318.7,244.7,69.0,71.3,29.7,20.3,-0.3,-3.3,1
TEN,NYJ,15,258.0,167.3,98.7,154.0,17.3,14.3,-2.3,-2.3,1
CLE,WAS,15,227.0,231.7,128.0,177.3,23.3,28.7,2.3,0.7,0
ATL,NYG,15,277.0,258.3,79.3,133.0,22.3,35.3,0.3,1.7,1
MIA,JAX,15,185.0,191.7,128.0,91.0,17.7,17.3,-0.7,0.3,1
ARI,DET,15,156.0,327.7,66.0,126.3,7.7,28.0,-2.3,0.3,1
CHI,GB,15,245.3,210.7,121.0,136.0,19.7,20.0,0.3,0.0,0
NYJ,SD,16,107.7,181.7,163.0,70.0,11.3,18.0,-2.7,0.7,0
DEN,CLE,16,239.0,261.3,131.3,111.3,30.3,23.7,1.0,-0.3,1
TB,STL,16,244.0,253.3,91.3,83.3,14.7,17.7,-1.3,0.0,0
BAL,NYG,16,190.7,230.3,117.7,116.3,21.7,22.7,-0.7,0.0,1
HOU,MIN,16,223.0,101.7,134.3,208.0,22.3,23.7,2.3,0.7,0
JAX,NE,16,189.0,309.0,86.3,111.0,10.3,33.0,0.3,-0.7,0
CAR,OAK,16,239.0,263.0,171.7,116.3,27.3,15.0,0.7,0.0,1
ARI,CHI,16,88.0,220.0,74.3,111.0,14.7,14.7,-0.3,0.3,0
DAL,NO,16,287.0,326.0,86.3,130.7,28.3,27.0,0.7,-0.3,0
GB,TEN,16,236.3,217.0,135.0,117.7,23.7,15.7,0.3,-0.3,1
DET,ATL,16,264.0,250.3,119.0,96.0,21.0,25.7,-0.7,2.0,0
KC,IND,16,145.3,230.3,116.0,103.0,11.3,26.3,-0.3,-1.0,0
PIT,CIN,16,286.7,164.3,78.0,143.7,23.7,24.3,-1.3,0.7,0
SEA,SF,16,229.3,188.3,243.3,161.0,43.7,27.0,3.0,0.7,1
MIA,BUF,16,172.7,182.3,125.0,137.0,17.7,21.0,-0.7,-1.3,1
PHI,WAS,16,251.7,238.3,84.7,168.3,23.0,28.7,-1.7,0.3,0
